book_id,title,source,indiv_a,indiv_b,neutral_a,neutral_b,now_a,now_b,cause_a,cause_b,acad_a,acad_b,narrative_a,narrative_b,prompt_version,topics,cover_url,topics_hash
"1","사과하려 했는데","notion","0.7","0.3","0.6","0.4","0.5","0.5","0.3","0.7","0.2","0.8","0.6","0.4","v3","#미안함 #가족의관계 #어린이문학 #감정탐구 #성장소설","https://image.aladin.co.kr/product/38835/26/cover500/k942137383_1.jpg","3e803283ea26499f264a82336a0c2673"
"2","독학이라는 세계","notion","0.7","0.3","0.6","0.4","0.4","0.6","0.3","0.7","0.4","0.6","0.2","0.8","v3","#AI시대 #학습의의미 #자기성찰 #지적탐구","https://image.aladin.co.kr/product/38876/28/cover500/k642137107_1.jpg","14a813da973c3e5ef492a116178c96cf"
"3","러시아가 승리한다면","notion","0.4","0.6","0.5","0.5","0.4","0.6","0.5","0.5","0.7","0.3","0.1","0.9","v3","#러시아 #미국전략 #동서전쟁 #국제정세 #힘의균형","https://image.aladin.co.kr/product/38893/49/cover500/k572137503_1.jpg","4f87668924efcb48b478e658af174808"
"4","러시아 제국 연구","notion","0.2","0.8","0.4","0.6","0","0","0","0","0.9","0.1","0.1","0.9","v3","#러시아제국 #제국주의시대 #역사연구 #동유럽역사 #러시아사회","https://image.aladin.co.kr/product/38846/47/cover500/k732137700_2.jpg","3c7115d9fcb6dfb418a3725e93ef70ff"
"5","슬픈 살인","notion","0.7","0.3","0.4","0.6","0.6","0.4","0.5","0.5","0.3","0.7","0.4","0.6","v3","#조현병 #정신질환 #정신건강 #사회적고립 #예일대","https://image.aladin.co.kr/product/38875/4/cover500/k832137104_1.jpg","600fda3d5849a4b2a1ce96e4377bfa29"
"6","오징어땅콩전","notion","0.6","0.4","0.5","0.5","0.5","0.5","0.3","0.7","0.3","0.7","0.7","0.3","v3","#오징어땅콩 #전쟁이야기 #어린이문학 #이야기의힘 #상상력","https://image.aladin.co.kr/product/38846/93/cover500/k262137701_1.jpg","a2074d523f6bc9f15afbf22f3db9029a"
"7","나의 친구들","notion","0.8","0.2","0.5","0.5","0.5","0.5","0.4","0.6","0.2","0.8","0.6","0.4","v3","#청소년우정 #성장소설 #인간관계 #소설의향기 #14살의존재","https://image.aladin.co.kr/product/38873/48/cover500/k802137100_1.jpg","a71da67c9251edfd6c21952b910b1285"
"8","호모 카르보","notion","0.3","0.7","0.4","0.6","0","0","0.2","0.8","0.6","0.4","0.1","0.9","v3","#탄소발자국 #호모카르보 #기후변화 #환경문제 #지속가능한사회","https://image.aladin.co.kr/product/38829/96/cover500/k652137288_1.jpg","1bbaa7ca9d1357ddb42cebf6390489a6"
"9","눈물도감","notion","0.5","0.5","0.5","0.5","0","0","0","0","0.3","0.7","0.7","0.3","v3","#눈물과감정 #자연과학어린이 #감정의미 #어린이문학 #눈물의과학","https://image.aladin.co.kr/product/38849/92/cover500/k382137705_1.jpg","670f820676c4104368bd01457b8ca29d"
"10","로봇의 미래","notion","0.4","0.6","0.3","0.7","0.2","0.8","0.3","0.7","0.2","0.8","0.1","0.9","v3","#인공지능 #로봇윤리 #기술과사회 #미래사회 #AI의미래","https://image.aladin.co.kr/product/38836/92/cover500/k222137387_1.jpg","b476f9009fc9dee6c5f6a624c2cefd8d"
"11","숲으로 출근합니다","notion","0.5","0.5","0.4","0.6","0.5","0.5","0.4","0.6","0.3","0.7","0.3","0.7","v3","#숲과도시 #기술과생태 #자연과의교감 #환경과학 #도시인의여유","https://image.aladin.co.kr/product/38885/58/cover500/k112137400_1.jpg","194f68b88c2ef66c4eb49632b549e5f6"
"12","제철의 셰프","notion","0.4","0.6","0.5","0.5","0","0","0","0","0.5","0.5","0.3","0.7","v3","#음식의인문학 #제철요리 #셰프의삶 #식문화 #계절과음식","https://image.aladin.co.kr/product/38837/39/cover500/k792137488_1.jpg","8bf1d3f03c6c3c88d3e6d21e827ad1f5"
