book_id,title,author,source,topics,has_novel_tag,missing_tags,book_memo
4,러시아 제국 연구,로널드 수니,notion,#러시아제국 #제국주의시대 #역사연구 #동유럽역사 #러시아사회,FALSE,,
13,아버지 없는 세상의 아들들,고혜경,notion,#아버지의부재 #성애철학 #내면의여성 #존재론적불안 #현대인의고독,FALSE,누락,#남성성의위기 #여성혐오 #정신분석 제안
17,아포칼립스,리지 웨이드,notion,#흑사병 #신분제 #역사적종말 #대유행 #인류의위기,FALSE,누락,#아포칼립스 #인류재건 #세계역사 제안
22,욕망의 음식,연호탁,notion,#중세기독교 #욕망의식각 #음식의역사 #침고이는이야기 #식습치의미,FALSE,,#음식의문화 제안
24,엄마가 된 걸 후회한다고 말했다,다카하시 아이,notion,#엄마의후회 #출산후조현상 #여성의삶 #가족관계 #양육의고민,FALSE,,
32,"여자, 기록을 가로채다",장지연,notion,#한국사속여성 #기록의역학 #여성의삶의기록 #기생과여성 #역사속주체적여성 #역사기록,FALSE,,
48,싫으니까 싫어,나카가와 히로타카,notion,#싫음의감정 #어린이문학 #유령과눈사람 #감정표현 #인간관계,FALSE,,
58,인생여전,양성민,notion,#노동의문제 #생계와삶 #빈부격차 #사회적불평등 #일과정체,FALSE,,#노동에세이 #르포문학 제안
70,삶에게 웃으며 말 거는 법,크리스 더피,notion,#삶의의미 #긍정심리 #유머와행복 #마음가짐의중요성 #철학적성찰,FALSE,,#삶의태도 제안
75,기독교 - 이슬람 전쟁사,레이먼드 이브라힘,notion,#기독교역사 #이슬람전쟁사 #종교전쟁 #서구사관 #종교전쟁사본류,FALSE,,#기독교전쟁사 #종교전쟁사 제안
85,잠과 영혼,그렉 이건,notion,#SF소설 #로봇과영혼 #복제인간 #정체성 #인공지능,FALSE,누락,#소설 제안
87,로저 프라이,버지니아 울프,notion,#로저프라이 #세잔마티스 #현대미술이론 #미술비평 #예술가의시선,FALSE,,#로저프라이평전 제안
89,언어는 어떻게 인간을 바꾸는가,비오리카 마리안,notion,#언어와인간관계 #언어와심리 #문화심리학 #의사소통과윤리 #언어의사회영향,FALSE,,#다중언어 제안
99,바로크의 로마,정진국,notion,#바로크예술 #로마역사 #가톨릭교회 #예술과종교 #17세기미술 #문화와예술,FALSE,,
132,너무 희미한 존재들,김고은,notion,#성장강요 #은둔청년 #정치적상황 #사회적고립 #세대갈등 #사회적안전망,FALSE,,
141,눈에 보이지 않는 전쟁과 돈의 역사,던컨 웰던,notion,#전쟁과돈 #돈의흐름 #폭력과전쟁 #전쟁의역사 #돈의역사 #국제정세,FALSE,,
158,브레이크넥,댄 왕,notion,#미국사회 #중국경제 #시스템충돌 #변호사의나라 #엔지니어의나라 #미중갈등 #국제질서,FALSE,,#미국경제 제안
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,몬가 미오코,nlk,#고독사 #1인가구 #존엄한죽음 #사회적고립 #건강관리 #자기결정 #개인적대비책,FALSE,,
198,출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙,반유화,nlk,#현대인의불안 #뇌와행동 #상실이후의삶 #심리적회복 #스트레스관리,FALSE,,#직장인스트레스 #인간관계 제안
208,(조용하고 끈질기게 살아남은) 잡초들의 전략,이나가키 히데히로,nlk,#생명전략 #식물학 #생존기술 #환경적응 #자연의지혜,FALSE,,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,안예슬,nlk,#고립청년 #여성청년 #여성고립 #자살위험 #코로나19 #사회적고립 #사회적안전망,FALSE,,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",강지나,nlk,#빈곤과불평등 #청소년기 #사회적고립 #가정환경 #청소년빈곤 #청년빈곤 #더나은공동체 #사회적안전망,FALSE,,
221,내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,페터 베르,nlk,#자기인식 #내면탐구 #인간심리 #존재론적질문 #고독과소통,FALSE,,
238,텔로미어,박성신,nlk,#텔로미어 #노화와수명 #생명진화 #세포분열 #염색체과학,FALSE,누락,#노화방지법 #노인문제 #소설 제안
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",조병영,nlk,#문해력저하 #텍스트읽기 #미디어시대 #인문학적위기 #독서습관,FALSE,,
253,100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,스텐 오덴발드,nlk,#우주역사 #과학의물리학 #천체관측 #NASA #인문과학,FALSE,,
259,AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,이헌주,nlk,#인공지능과인간 #내면의힘 #내면경쟁력 #인간다움 #심리학,FALSE,,
272,단단한 행복 : 아리스토텔레스에게 배우는 행복에 관한 철학 수업,양현길,nlk,#아리스토텔레스 #행복의철학 #가치있는삶 #본질적행복 #영혼의성장,FALSE,,
290,잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙,제퍼슨 피셔,nlk,#대화의원칙 #소통의기술 #갈등해결 #경청의미 #관계의심리학,FALSE,,#경청의중요성 제안
291,"호랑이는 숲에 살지 않는다 : 멸종, 공존 그리고 자연의 질서에 관한 이야기",임정은,nlk,#호랑이보전 #생태계파괴 #공존과생명 #보전생물학 #자연의질서,FALSE,,
