"book_id","title","source","tag","action","proposed_tag","note"
"1","사과하려 했는데","notion","#미안함","검토","",""
"1","사과하려 했는데","notion","#가족의관계","검토","",""
"1","사과하려 했는데","notion","#어린이문학","유지","",""
"1","사과하려 했는데","notion","#감정탐구","검토","",""
"1","사과하려 했는데","notion","#성장소설","유지","",""
"2","독학이라는 세계","notion","#인공지능","유지","",""
"2","독학이라는 세계","notion","#학습의의미","검토","",""
"2","독학이라는 세계","notion","#자기성찰","유지","",""
"2","독학이라는 세계","notion","#지적탐구","검토","",""
"3","러시아가 승리한다면","notion","#러시아","검토","",""
"3","러시아가 승리한다면","notion","#미국전략","검토","",""
"3","러시아가 승리한다면","notion","#동서전쟁","검토","",""
"3","러시아가 승리한다면","notion","#국제질서","유지","",""
"3","러시아가 승리한다면","notion","#힘의균형","검토","",""
"4","러시아 제국 연구","notion","#러시아제국","검토","",""
"4","러시아 제국 연구","notion","#제국주의시대","검토","",""
"4","러시아 제국 연구","notion","#역사연구","검토","",""
"4","러시아 제국 연구","notion","#동유럽역사","검토","",""
"4","러시아 제국 연구","notion","#러시아사회","검토","",""
"5","슬픈 살인","notion","#조현병","검토","",""
"5","슬픈 살인","notion","#정신질환","검토","",""
"5","슬픈 살인","notion","#정신건강","치환","#심리학",""
"5","슬픈 살인","notion","#사회적고립","유지","",""
"5","슬픈 살인","notion","#예일대","검토","",""
"6","오징어땅콩전","notion","#오징어땅콩","검토","",""
"6","오징어땅콩전","notion","#전쟁이야기","검토","",""
"6","오징어땅콩전","notion","#어린이문학","유지","",""
"6","오징어땅콩전","notion","#이야기의힘","검토","",""
"6","오징어땅콩전","notion","#상상력","유지","",""
"7","나의 친구들","notion","#청소년우정","검토","",""
"7","나의 친구들","notion","#성장소설","유지","",""
"7","나의 친구들","notion","#사회적관계","유지","",""
"7","나의 친구들","notion","#소설의향기","검토","",""
"7","나의 친구들","notion","#14살의존재","검토","",""
"8","호모 카르보","notion","#탄소발자국","검토","",""
"8","호모 카르보","notion","#호모카르보","검토","",""
"8","호모 카르보","notion","#기후위기","유지","",""
"8","호모 카르보","notion","#지속가능한사회","검토","",""
"9","눈물도감","notion","#눈물과감정","검토","",""
"9","눈물도감","notion","#자연과학어린이","검토","",""
"9","눈물도감","notion","#감정의미","검토","",""
"9","눈물도감","notion","#어린이문학","유지","",""
"9","눈물도감","notion","#눈물의과학","검토","",""
"10","로봇의 미래","notion","#인공지능","유지","",""
"10","로봇의 미래","notion","#로봇윤리","검토","",""
"10","로봇의 미래","notion","#AI의미래","검토","",""
"11","숲으로 출근합니다","notion","#숲과도시","검토","",""
"11","숲으로 출근합니다","notion","#자연과의교감","치환","#기후위기",""
"11","숲으로 출근합니다","notion","#환경과학","치환","#기후위기",""
"11","숲으로 출근합니다","notion","#도시인의여유","검토","",""
"12","제철의 셰프","notion","#문화와예술","유지","",""
"12","제철의 셰프","notion","#제철요리","검토","",""
"12","제철의 셰프","notion","#셰프의삶","검토","",""
"12","제철의 셰프","notion","#식문화","유지","",""
"12","제철의 셰프","notion","#계절과음식","검토","",""
"13","아버지 없는 세상의 아들들","notion","#아버지의부재","검토","",""
