book_id,add_tag,reason
7,#소설,트랙C 소설태그점검
55,#소설,트랙C 소설태그점검
85,#소설,트랙C 소설태그점검
88,#소설,트랙C 소설태그점검
97,#소설,트랙C 소설태그점검
100,#소설,트랙C 소설태그점검
114,#소설,트랙C 소설태그점검
142,#소설,트랙C 소설태그점검
154,#소설,트랙C 소설태그점검
161,#소설,트랙C 소설태그점검
169,#소설,트랙C 소설태그점검
171,#소설,트랙C 소설태그점검
203,#소설,트랙C 소설태그점검
207,#소설,트랙C 소설태그점검
222,#소설,트랙C 소설태그점검
223,#소설,트랙C 소설태그점검
233,#소설,트랙C 소설태그점검
236,#소설,트랙C 소설태그점검
238,#소설,트랙C 소설태그점검
248,#소설,트랙C 소설태그점검
255,#소설,트랙C 소설태그점검
258,#소설,트랙C 소설태그점검
263,#소설,트랙C 소설태그점검
267,#소설,트랙C 소설태그점검
280,#소설,트랙C 소설태그점검
288,#소설,트랙C 소설태그점검
13,#남성성의위기,감사발견_book_memo제안
13,#여성혐오,감사발견_book_memo제안
13,#정신분석,감사발견_book_memo제안
17,#아포칼립스,감사발견_book_memo제안
17,#인류재건,감사발견_book_memo제안
17,#세계역사,감사발견_book_memo제안
