"book_id","title","topics"
"2","독학이라는 세계","#AI시대 #학습의의미 #자기성찰 #지적탐구"
"3","러시아가 승리한다면","#러시아 #미국전략 #동서전쟁 #국제정세 #힘의균형"
"7","나의 친구들","#청소년우정 #성장소설 #인간관계 #소설의향기 #14살의존재"
"8","호모 카르보","#탄소발자국 #호모카르보 #기후변화 #환경문제 #지속가능한사회"
"10","로봇의 미래","#인공지능 #로봇윤리 #기술과사회 #미래사회 #AI의미래"
"11","숲으로 출근합니다","#숲과도시 #기술과생태 #자연과의교감 #환경과학 #도시인의여유"
"12","제철의 셰프","#음식의인문학 #제철요리 #셰프의삶 #식문화 #계절과음식"
"13","아버지 없는 세상의 아들들","#아버지의부재 #성애철학 #내면의여성 #존재론적불안 #현대인의고독"
"14","빛의 광장의 기록","#촛불집회 #광장의기록 #민주주의 #시민운동 #역사적기록"
"17","아포칼립스","#흑사병 #신분제 #역사적종말 #대유행 #인류의위기"
"18","아이들이 쉬는 숨","#기후위기 #아이들의건강 #환경문제 #과학과미래 #호흡기질환"
"22","욕망의 음식","#중세기독교 #욕망의식각 #음식의역사 #침고이는이야기 #식습치의미"
"24","엄마가 된 걸 후회한다고 말했다","#엄마의후회 #출산후조현상 #여성의삶 #가족관계 #양육의고민"
"26","다정함의 배신","#다정함의배신 #착취전략 #인간관계 #사회심리학 #도덕의심리"
"28","F1 더 포뮬러","#F1레이싱 #자동차스포츠 #경쟁전략 #기술과예술 #스포츠심리학"
"32","여자, 기록을 가로채다","#한국사속여성 #기록의역학 #여성의삶의기록 #기생과여성 #역사속주체적여성 #역사기록"
"35","전범선의 한국사 테라피","#한국사 #전쟁과정치 #역사의치유 #증오와갈등 #역사의메마림"
"38","4·3, 아카이브로 본 역사","#4·3사건 #역사적기록 #아카이브의역사 #민중투쟁 #역사학연구"
"44","자유와 평등","#자유와평등 #불평등의이유 #사회정책 #철학적사고 #경제적격차"
"45","대등생극론","#대등생극 #철학사상 #인정의문제 #균형과조화"
"48","싫으니까 싫어","#싫음의감정 #어린이문학 #유령과눈사람 #감정표현 #인간관계"
"51","우리가 마지막 순간을 함께할 수 있을까","#사랑과관계 #성소수자 #퀴어 #돌봄과애도 #관계의다양성 #사회적안전망 #에세이"
"56","엄마와 딸들의 미친년의 역사","#가족사 #미치심 #여성의삶 #인간관계"
"57","그건 가스라이팅이 아니다","#가스라이팅 #심리적조작 #관계의문제 #인간관계 #정신건강"
"58","인생여전","#노동의문제 #생계와삶 #빈부격차 #사회적불평등 #일과정체"
"69","게이트우드 할머니의 발자국","#애팔래치아트레일 #할머니의산책 #삶의여정 #노년의도전 #자연과의교감"
"72","조선의 싱어송라이터","#조선시대음악 #역사속예술가 #음악과문학의만남 #민족음악의정체 #문화와예술"
"73","뉘른베르크, 나치와 정신과 의사","나치즘 #정신과역사 #뉘른베르크재판 #악의학습 #파시즘의진화"
"75","기독교 - 이슬람 전쟁사","#기독교역사 #이슬람전쟁사 #종교전쟁 #서구사관 #종교전쟁사본류"
"76","반대편 사람 주의","#우울증 #인간관계 #삶의회복 #마음의고통 #소설"
"77","로봇, 그리고 로봇을 사랑하는 사람들","#로봇과인간 #인간과AI #로봇과인간의관계 #소셜로봇 #미래사회"
"78","밥 짓는 여자들","#급식노동자 #차별과사회 #여성의노동 #식량문제 #사회불평등"
"82","젠더의 경계를 넘는 아이들","#젠더의경계 #아이들의발달 #성별불규칙 #다양한성정체 #젠더정의"
"87","로저 프라이","#로저프라이 #세잔마티스 #현대미술이론 #미술비평 #예술가의시선"
