"book_id","title","topics"
"7","나의 친구들","#청소년우정 #성장소설 #사회적관계 #소설의향기 #14살의존재"
"55","정전","#문학의세계 #인간의고독 #예술과고통"
"85","잠과 영혼","#SF소설 #로봇과영혼 #복제인간 #정체성 #인공지능"
"88","고백 보험을 해지합니다","#인공지능 #청소년 #고백보험 #청소년소설 #SF소설 #문학"
"97","조각나고 찢긴,","#가부장제 #메두사 #뱀파이어 #여성해방"
"100","근접한 세계","#윤리적딜레마 #한국사회 #일본사회 #서구문학 #사회적관계"
"114","구름 사람들","#구름사람들 #빈민가 #가난의상상 #불평등사회 #문학작품"
"142","상실","#상실의식 #인간의고독 #현대인의불안 #일상의상처 #기억과상실"
"154","불필요한 여자","#여성의일생 #전쟁과일상 #중동배경"
"161","떠난 것은 돌아오지 않는다","#기억과상실 #삶의의미 #작별과작별 #현대인의고독 #정신적여정"
"169","불타는 작품 : 윤고은 장편소설","#작품의가치 #예술과기획 #개와예술 #사진작가 #기발한상황"
"171","88번 버스의 기적","#첫사랑의흔적 #기억과시간 #일상의기적 #세대차이의만남 #인간관계의온전함"
"203","재뉴어리의 푸른 문 : 앨릭스 E. 해로우 장편소설","#판타지소설 #문학적모험 #고고학 #세상과의소통 #가족관계"
"207","쓰게 될 것 : 최진영 소설집","#기후위기 #인공지능의문제 #현대인의불안 #전쟁의참혹 #한국현대소설"
"222","나에게 진실이라는 거짓을 맹세해","#범죄심리 #진실과거짓 #관계의불안 #노르웨이사회 #인간의심각한면"
"223","오렌지와 빵칼 : 청예 장편소설","#인간내면의갈등 #정서조절 #유치원과교육 #억압과해방 #미스터리소설"
"233","빛이 이끄는 곳으로 : 백희성 장편소설","#건축과인간관계 #파리저택미스터리 #기억과공간 #건축가의삶 #집과일상"
"236","나의 작은 나라 : 가엘 파유 장편소설","#부룬디내전 #자전적소설 #어린시절의기억 #고통과상실 #희망과연대"
"238","텔로미어","#텔로미어 #노화와수명 #생명진화"
"248","데드 스페이스","#인공지능의진화 #미래우주시대 #기업의횡포 #인간과기계 #공진화"
"255","단역배우 김순효 씨 : 이수정 장편소설","#단역배우 #모녀관계 #기억과장소 #가족의의미 #한국현대소설"
"258","소풍을 빌려드립니다 : 복합문화공간 : 문하연 장편소설","#연대와공감 #호숫가마을 #위로와치유 #한국현대소설"
"263","언젠가 모든 것은 바다로 떨어진다 : 세라 핀스커 소설집","#기술과사회 #미래사회 #SF소설 #인간과기술 #현대인의경험"
"267","젊음의 나라 : 손원평 장편소설","#청년문제 #세대갈등 #미래사회 #노인복지 #공동체"
"280","영원을 향하여 : 안톤 허 장편소설","#불멸 #영원 #과학과윤리 #기억과정체성 #근미래사회"
"288","노 피플 존 : 정이현 소설","#관계의고립 #도시의욕망 #모순적감정 #사회구조 #일상의균열"
"13","아버지 없는 세상의 아들들","#아버지의부재 #존재론적불안"
"17","아포칼립스","#역사적종말 #대유행 #인류의위기"
