book_id,title,source,has_novel_tag,is_childrens,suspect_tags,tags,is_novel,note
7,나의 친구들,notion,FALSE,FALSE,#성장소설 #소설의향기,#청소년우정 #성장소설 #인간관계 #소설의향기 #14살의존재,Y,
12,제철의 셰프,notion,FALSE,FALSE,#음식의인문학,#음식의인문학 #제철요리 #셰프의삶 #식문화 #계절과음식,,
55,정전,notion,FALSE,FALSE,#문학의세계,#문학의세계 #인간의고독 #예술과고통,Y,
72,조선의 싱어송라이터,notion,FALSE,FALSE,#음악과문학의만남,#조선시대음악 #역사속예술가 #음악과문학의만남 #민족음악의정체 #문화와예술,,
85,잠과 영혼,notion,FALSE,FALSE,#SF소설,#SF소설 #로봇과영혼 #복제인간 #정체성 #인공지능,Y,
88,고백 보험을 해지합니다,notion,FALSE,FALSE,#청소년소설 #SF소설 #문학,#인공지능 #청소년 #고백보험 #기술과인간 #청소년소설 #SF소설 #문학,Y,
90,"할머니, 개, 그리고 죽도록 쓰기",notion,FALSE,FALSE,#문학적자서전,#할머니와글쓰기 #죽도록쓰기 #개와인생 #문학적자서전 #기억과상실,,
100,근접한 세계,notion,FALSE,FALSE,#서구문학,#윤리적딜레마 #한국사회 #일본사회 #서구문학 #인간관계,Y,
114,구름 사람들,notion,FALSE,FALSE,#문학작품,#구름사람들 #빈민가 #가난의상상 #사회적불평등 #문학작품,Y,
131,마지막 홍콩배우 양조위,notion,FALSE,FALSE,#영화의인문학,#양조위 #홍콩영화 #영화의인문학 #한국예술 #배우의삶,,
140,재미의 조건,notion,FALSE,FALSE,#스크린의인문학,#영화의조건 #류승완의작품 #스크린의인문학 #창작의욕망 #예술가세계,,
146,오종찬 기자의 Oh! 컷,notion,FALSE,FALSE,#사진의인문학,#사진의인문학 #예술가의삶 #20년차기자 #빛나는순간,,
147,보이지 않는 코끼리,notion,FALSE,FALSE,#몽환적인문학,#보이지않는코끼리 #기억과정체 #예술과자아 #몽환적인문학,,
157,허균의 맛,notion,FALSE,FALSE,#역사속식문학,#조선시대음식 #역사속식문학 #음식문화 #방풍죽,,
164,천문대에 피아노가 떨어졌다,notion,FALSE,FALSE,#천문학,#천문학 #예술과삶 #상상력 #경계의미학,,
175,과학에서 인문학을 만나다 : 챗GPT의 시대 인문학에서 답을 찾다,nlk,FALSE,FALSE,#기술과인문학 #인문학적사고,#인공지능의윤리 #기술과인문학 #챗GPT의시대 #초지능의가능성 #인문학적사고,,
180,우세한 책들 : 우리가 사는 세상을 위한 책 읽기,nlk,FALSE,FALSE,#인문학적성찰,#사회적문제 #사회학적통찰 #인문학적성찰 #세상탐구 #사회적불안,,
182,나의 문학 답사 일지 : 배움을 찾아 떠난 국문학자의 여행,nlk,FALSE,FALSE,#국문학의여행 #문학과역사 #문학기행,#국문학의여행 #문학과역사 #춘향전남원 #탁류군산 #문학기행,,
184,도시의 맛 : 인문학이 살아있는 도시여행 큐레이션,nlk,FALSE,FALSE,#도시의인문학 #여행의인문학 #미식과인문학,#도시의인문학 #여행의인문학 #문화의다양성 #도시와문화 #미식과인문학,,
186,우리가 우주에 가야 하는 이유,nlk,FALSE,FALSE,#인문학적우주론,#우주여행 #미래과학 #태양계탐사 #인문학적우주론 #기술과인류,,
189,지리학자의 열대 인문여행 : 야만과 지상낙원이라는 편견에 갇힌 열대의 진짜 모습을 만나다,nlk,FALSE,FALSE,#인문학적탐구,#열대지리학 #인문학적탐구 #야만과지상낙원 #열대의진실 #지리적인식,,
201,한 사람의 노래가 온 거리에 노래를 : 창비시선 500 특별시선집,nlk,FALSE,FALSE,#시의인문학,#시의인문학 #노래와예술 #한국시사상,,
203,재뉴어리의 푸른 문 : 앨릭스 E. 해로우 장편소설,nlk,FALSE,FALSE,#판타지소설 #문학적모험,#판타지소설 #문학적모험 #고고학 #세상과의소통 #가족관계,Y,
207,쓰게 될 것 : 최진영 소설집,nlk,FALSE,FALSE,#한국현대소설,#기후위기 #인공지능의문제 #현대인의불안 #전쟁의참혹 #한국현대소설,Y,
223,오렌지와 빵칼 : 청예 장편소설,nlk,FALSE,FALSE,#미스터리소설,#인간내면의갈등 #정서조절 #유치원과교육 #억압과해방 #미스터리소설,Y,
224,위대한 관찰 : 곤충학자이길 거부했던 자연주의자 장 앙리 파브르의 말과 삶,nlk,FALSE,FALSE,#인문학적자연,#파브르곤충기 #자연주의 #관찰과기록 #생물다양성 #인문학적자연,,
232,지명발견록 : 우리 땅 이름의 숨겨진 이야기,nlk,FALSE,FALSE,#시인과인문학,#지명과이름 #고유어의미 #역사속지명 #언어와문화 #시인과인문학,,
236,나의 작은 나라 : 가엘 파유 장편소설,nlk,FALSE,FALSE,#자전적소설,#부룬디내전 #자전적소설 #어린시절의기억 #고통과상실 #희망과연대,Y,
245,"인간 문명의 네 가지 법칙 : 에너지, 혁신, 협력, 진화가 역사의 방향을 결정한다",nlk,FALSE,FALSE,#인문학적사고,#문명과진화 #에너지시스템 #혁신과발전 #협력과진화 #인문학적사고,,
246,살아갈 날들을 위한 괴테의 시,nlk,FALSE,FALSE,#문학으로본인간,#괴테 #삶의희망 #인생의방향 #문학으로본인간 #예술가의삶,,
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",nlk,FALSE,FALSE,#인문학적위기,#문해력저하 #텍스트읽기 #미디어시대 #인문학적위기 #독서습관,,
255,단역배우 김순효 씨 : 이수정 장편소설,nlk,FALSE,FALSE,#한국현대소설,#단역배우 #모녀관계 #기억과장소 #가족의의미 #한국현대소설,Y,
258,소풍을 빌려드립니다 : 복합문화공간 : 문하연 장편소설,nlk,FALSE,FALSE,#한국현대소설,#연대와공감 #호숫가마을 #위로와치유 #한국현대소설,Y,
263,언젠가 모든 것은 바다로 떨어진다 : 세라 핀스커 소설집,nlk,FALSE,FALSE,#SF소설,#기술과사회 #미래사회 #SF소설 #인간과기술 #현대인의경험,Y,
264,"음식은 넘쳐나고, 인간은 배고프다 : 바츨라프 스밀의 세계를 먹여 살리는 법",nlk,FALSE,FALSE,#경제의인문학,#식량의문제 #빈곤과불평등 #환경과미래 #경제의인문학 #세계의빈곤,,
284,뒷마당 탐조 클럽,nlk,FALSE,FALSE,#소설가의일상,#자연과공존 #소설가의일상 #뒷마당탐조 #조류관찰,,
