book_id,cluster_ids
"1",""
"2","education"
"3","politics"
"4","inequality|history"
"5","psychology|relation"
"6",""
"7","relation"
"8","environment"
"9","science"
"10","ai-tech"
"11","environment"
"12","culture"
"13","gender"
"14","history"
"15",""
"16","history"
"17","history"
"18","environment"
"19",""
"20","science"
"21","psychology|science|education"
"22","culture"
"23","psychology"
"24","gender|relation"
"25",""
"26","psychology|relation"
"27",""
"28",""
"29","gender"
"30","science"
"31",""
"32","gender|history"
"33","psychology|relation"
"34","history"
"35","history"
"36",""
"37","psychology"
"38","history"
"39","history"
"40","psychology"
"41","environment|history"
"42",""
"43","politics"
"44","inequality|philosophy"
"45","philosophy"
"46",""
"47",""
"48","relation"
"49","philosophy"
"50",""
"51","relation"
"52",""
"53","inequality"
"54","science|culture"
"55","psychology"
"56","gender|relation"
"57","psychology|relation"
"58","inequality"
"59","inequality|gender"
"60","environment"
"61","politics"
"62","education"
"63",""
"64","inequality|philosophy"
"65",""
"66","inequality|relation"
"67","psychology"
"68","psychology"
"69","environment"
"70","psychology|philosophy"
"71","history|culture"
"72","history|culture"
"73","history"
"74",""
"75","history"
"76","relation"
"77","ai-tech"
"78","inequality|gender"
"79","inequality"
"80","culture"
"81",""
"82","gender"
"83","history"
"84","environment"
"85","ai-tech"
"86","psychology|philosophy"
"87","culture"
"88","ai-tech"
"89","relation"
"90",""
"91","environment|gender|science"
"92","history"
"93","history"
"94","culture"
"95","politics"
"96",""
"97","gender"
"98","environment"
"99","history|culture"
"100","relation"
"101","environment"
"102",""
"103","psychology|philosophy"
"104","psychology|philosophy"
"105",""
"106","relation"
"107","relation"
"108",""
"109","psychology|gender|culture"
"110","philosophy"
"111",""
"112","history|philosophy"
"113","history"
"114","inequality"
"115","inequality"
"116","history"
"117",""
"118","inequality"
"119","politics"
"120",""
"121",""
"122","ai-tech"
"123",""
"124",""
"125","ai-tech|politics"
"126","history|culture"
"127","science|philosophy"
"128","politics"
"129","culture"
"130","inequality|history"
"131","culture"
"132","relation"
"133",""
"134","history"
"135",""
"136","history|education"
"137","psychology"
"138",""
"139",""
"140",""
"141","history|politics"
"142","psychology"
"143",""
"144","psychology"
"145",""
"146","culture"
"147",""
"148",""
"149","culture"
"150",""
"151","inequality"
"152","psychology|relation"
"153","history"
"154","gender"
"155","culture"
"156","science"
"157","history|culture"
"158","politics"
"159",""
"160","inequality|relation"
"161","psychology"
"162","psychology|science"
"163","history"
"164","culture"
"165",""
"166","ai-tech"
"167","history|philosophy"
"168","ai-tech"
"169",""
"170","ai-tech"
"171","relation"
"172","psychology"
"173",""
"174","relation|education"
"175","ai-tech"
"176","relation"
"177","science"
"178","gender"
"179","relation"
"180",""
"181","politics"
"182","history"
"183",""
"184",""
"185","psychology|science"
"186",""
"187","history|culture"
"188","environment"
"189",""
"190","history|culture"
"191","inequality"
"192","history"
"193","environment"
"194","ai-tech|science"
"195","psychology"
"196","ai-tech"
"197","history"
"198","psychology"
"199","culture"
"200","science"
"201",""
"202","inequality"
"203","relation"
"204","psychology|philosophy"
"205","psychology"
"206","science"
"207","ai-tech|environment|psychology"
"208","environment"
"209","ai-tech|education"
"210","gender|relation"
"211","relation"
"212","psychology"
"213","relation"
"214","psychology|relation"
"215","psychology|philosophy"
"216",""
"217",""
"218","inequality|relation"
"219","psychology"
"220",""
"221","psychology"
"222",""
"223","education"
"224","environment"
"225","politics|philosophy"
"226","psychology"
"227","psychology|philosophy"
"228","ai-tech"
"229","science"
"230","psychology|education"
"231","psychology"
"232","history|philosophy"
"233","relation"
"234","environment"
"235","culture"
"236",""
"237","environment|psychology|science"
"238","science"
"239","ai-tech"
"240","science"
"241","education"
"242","psychology|relation|science|education"
"243","science"
"244","ai-tech|psychology"
"245",""
"246","culture"
"247","ai-tech|psychology"
"248","ai-tech"
"249","psychology|philosophy"
"250","psychology"
"251","history"
"252","education"
"253","history"
"254","psychology"
"255",""
"256","psychology|relation"
"257","ai-tech"
"258",""
"259","ai-tech|psychology"
"260",""
"261","psychology|relation"
"262",""
"263","ai-tech"
"264","environment|inequality"
"265","science"
"266","ai-tech"
"267","ai-tech|relation"
"268","psychology"
"269",""
"270","psychology"
"271","psychology"
"272","psychology|philosophy"
"273","psychology|philosophy"
"274","psychology|science"
"275",""
"276",""
"277","relation"
"278","psychology"
"279","ai-tech"
"280","ai-tech"
"281",""
"282","ai-tech"
"283","psychology|science"
"284","environment"
"285","philosophy"
"286","environment"
"287",""
"288",""
"289",""
"290","psychology"
"291","environment|science"
"292",""
"293","history|culture"
